point_name	point_unit	point_code
T22D变压器L2L3线电压(2500kVA整流变)	V	E_BYQ_L2L3_V_1
T22D变压器L3L1线电压(2500kVA整流变)	V	E_BYQ_L3L1_V_1
T22D变压器L1相电流(2500kVA整流变)	A	E_BYQ_L1_GI_1
T22D变压器L2相电流(2500kVA整流变)	A	E_BYQ_L2_GI_1
T22D变压器L3相电流(2500kVA整流变)	A	E_BYQ_L3_GI_1
T22D变压器频率(2500kVA整流变)	Hz	E_BYQ_PL_1
T22D有功功率(2500kVA整流变)	kW	E_YGGL_1
T22D无功功率(2500kVA整流变)	kVar	E_WGGL_1
T22D功率因数(2500kVA整流变)		E_GLYS_1
T22D输入电能(2500kVA整流变)	kWh	E_SLDN_1
T22Y变压器L1L2线电压(2500kVA整流变)	V	G_BYQ_L1L2_V_1
T22Y变压器L2L3线电压(2500kVA整流变)	V	G_BYQ_L2L3_V_1
T22Y变压器L3L1线电压(2500kVA整流变)	V	G_BYQ_L3L1_V_1
T22Y变压器L1相电流(2500kVA整流变)	A	G_BYQ_L1_GI_1
T22Y变压器L2相电流(2500kVA整流变)	A	G_BYQ_L2_GI_1
T22Y变压器L3相电流(2500kVA整流变)	A	G_BYQ_L3_GI_1
T22Y变压器频率(2500kVA整流变)	Hz	G_BYQ_PL_1
T22Y有功功率(2500kVA整流变)	kW	G_YGGL_1
T22Y无功功率(2500kVA整流变)	kVar	G_WGGL_1
T22Y功率因数(2500kVA整流变)		G_GLYS_1
T22Y输入电能(2500kVA整流变)	kWh	G_SLDN_1
T31D变压器L1L2线电压(1000kVA)	V	I_BYQ_L1L2_V_2
T31D变压器L2L3线电压(1000kVA)	V	I_BYQ_L2L3_V_2
T31D变压器L3L1线电压(1000kVA)	V	I_BYQ_L3L1_V_2
T31D变压器L1相电流(1000kVA)	A	I_BYQ_L1_GI_2
T31D变压器L2相电流(1000kVA)	A	I_BYQ_L2_GI_2
T31D变压器L3相电流(1000kVA)	A	I_BYQ_L3_GI_2
T31D变压器频率(1000kVA)	Hz	I_BYQ_PL_2
T31D有功功率(1000kVA)	kW	I_YGGL_2
T31D无功功率(1000kVA)	kVar	I_WGGL_2
T31D功率因数(1000kVA)		I_GLYS_2
T31D输入电能(1000kVA)	kWh	I_SLDN_2
浮动支撑泵口压力	bar	FD_ZCBK_PRS
外循环进水流量	L/min	WXH_JS_FLOW
1#盾尾间隙测量	mm	DW_JX1
2#盾尾间隙测量	mm	DW_JX2
3#盾尾间隙测量	mm	DW_JX3
A组推进泵口压力	bar	TJB_PRS1_A
B组推进泵口压力	bar	TJB_PRS2_B
C组推进泵口压力	bar	TJB_PRS3
D组推进泵口压力	bar	TJB_PRS4
E组推进泵口压力	bar	TJB_PRS5
F组推进泵口压力	bar	TJB_PRS6
1#主驱动伸缩密封油脂流量	ml/min	ZQD_SS_FLOW1
2#主驱动伸缩密封油脂流量	ml/min	ZQD_SS_FLOW2
1#主驱动伸缩密封油脂计数器		ZQD_SS_MF_CNT1
2#主驱动伸缩密封油脂计数器		ZQD_SS_MF_CNT2
1#主驱动伸缩密封油脂正常		ZQD_SS_MF_ON1
2#主驱动伸缩密封油脂正常		ZQD_SS_ON2
1#主驱动伸缩密封油脂压力	bar	ZQD_SS_PRS1
2#主驱动伸缩密封油脂压力	bar	ZQD_SS_PRS2
A组伸缩油缸无杆腔压力	bar	SSYG_WGQ_PRSA
A组伸缩油缸有杆腔压力	bar	SSYG_YGQ_PRSA
B组伸缩油缸无杆腔压力	bar	SSYG_WGQ_PRSB
